total_rooms,population,median_income,median_house_value
1501,629,4.6806,209400
1194,414,3.2396,101900
5640,3538,5.065,215400
2485,1226,5.7083,329500
5308,2852,2.9161,135700
2927,2005,2.2375,102900
3735,1708,4.621,191100
4255,2901,3.2636,180200
2413,2867,4.7639,179900
2747,1281,5.482,366300
2738,1545,5.3446,263300
2089,837,4.6628,459200
1240,577,2.6625,248200
1755,774,5.0861,296700
1462,774,2.5478,91700
1718,756,3.2125,247000
907,619,3.9464,179600
1854,1363,2.6406,156700
3063,2153,1.8472,149100
2064,1384,4.5263,169000
3258,1810,5.1145,219900
3070,1264,5.1626,432700
2181,1057,4.625,118100
5780,2712,5.6445,135500
6907,3665,2.8401,104200
3416,2223,3.5109,186000
1988,1277,2.9414,162200
2205,1730,2.4866,68300
1345,834,3.7011,99500
1478,1976,2.0557,225000
2149,1359,2.824,167900
2597,1542,4.6211,248900
2670,1196,3.8427,283500
2261,929,4.2841,213400
2939,1167,2.3917,79000
30401,13251,4.5841,212300
1493,671,3.2794,224500
2993,1594,4.4821,252400
2700,3444,1.4867,124000
1834,994,3.7266,156500
825,670,1.1638,57900
6788,2866,3.3603,280200
1991,1202,3.1538,252100
4890,1289,2.5795,98700
2327,1304,3.3553,132200
6235,4127,3.0704,151600
4402,2941,3.8565,239800
2391,1886,2.5551,182100
1021,1258,1.7375,48600
1177,1533,2.3981,183300
1724,947,3.1094,91900
2523,1167,3.0625,127400
1397,661,4.125,239600
1802,1009,2.3036,126000
666,247,2.15,131300
1281,534,2.8906,65700
2526,1176,5.5136,137100
2880,2083,2.9619,223400
639,666,3.3017,87500
2920,3580,1.7393,140200
3098,1433,5.2508,292900
8638,3706,5.503,351800
1996,960,3.6611,344200
1142,494,5.0602,298900
1189,627,3.8611,100000
1412,792,2.3056,90400
4686,2254,6.1043,343500
3236,2034,4.0955,174200
10886,4266,2.3169,123400
2062,1285,1.5319,50500
2925,1226,2.5865,133800
1161,882,4.4167,158000
2145,1360,4.2054,150700
3159,1398,3.1467,161100
1794,1127,1.2647,55300
4378,2149,2.5035,123700
3752,1581,6.1091,329400
125,99,3.4375,170000
2305,2493,3.6618,183500
2695,2935,2.0134,132400
4138,1762,3.1979,137500
350,119,1.625,50000
1638,1341,3.0677,167700
1127,588,4.375,224700
1817,948,3.93,390000
2911,1746,1.7372,51000
3003,1530,1.7038,78300
3216,1627,3.0859,167800
2204,1435,3.676,125600
1931,1367,2.575,228400
3679,1820,3.6531,143500
1617,2745,3.5357,67500
8010,3982,4.0905,236500
2937,1454,5.4051,273500
1809,826,2.6518,179800
1400,522,4.9861,500001
495,284,2.8854,55700
14917,8012,5.6277,269800
2415,1278,6.1599,341200
488,161,6.0774,334400
2168,782,3.0187,278100
1290,867,5.5486,218100
2361,915,5.687,392400
3753,1859,4.9946,204600
4545,2188,3.3625,126100
1294,713,1.5433,50400
2138,1682,3.6006,161700
1524,1257,2.6019,250000
3092,1457,5.3377,373800
1885,953,2.1607,61400
1072,1111,1.9233,207100
2746,1779,4.25,166700
2049,2243,2.525,163700
1468,747,3.4643,125000
1430,704,1.9571,162500
1156,1359,2.5147,137100
1246,1031,1.9556,96300
3217,1670,2.4398,163100
2689,1229,3.5909,500001
1434,672,4.875,311700
3024,1323,3.3889,347900
2149,905,2.8841,290800
1079,1358,2.52,131900
2063,1686,1.4828,94800
1962,730,2.25,67500
1697,808,1.3417,169300
6322,2969,4.8233,214000
1239,648,2.0278,58800
1713,761,5.2081,136400
6093,2415,4.2075,183600
1432,749,3.5772,207400
617,251,3.8036,162000
4865,2315,4.2852,173500
2424,974,4.739,184100
1402,676,3.7426,135500
2572,1280,3.5583,232000
948,749,1.962,52700
3268,1431,5.7652,259900
594,325,1.1552,250000
1170,566,5.2522,125300
8482,3362,4.2216,217900
3307,1269,4.3176,136200
7740,4333,3.025,87900
3680,1678,5.0639,201700
720,891,1.8977,100000
8295,3903,5.5111,276600
3679,1366,4.5,151400
5329,2827,2.7374,150000
2303,851,3.9875,346500
1582,868,3.8261,250000
1298,1272,1.6488,117500
1836,767,5.9114,399000
1939,1808,2.2259,112500
1348,643,3.6447,211000
2272,963,5.7245,500000
2534,1495,1.9167,156300
164,104,1.6607,87500
388,35,6.1359,106300
1540,1136,4.3125,243000
2088,908,3.8141,342000
882,697,1.8472,99100
1756,798,5.5581,218300
3665,1470,6.155,398600
1028,317,4.9135,275000
3415,1527,4.0125,84400
1453,721,5.5176,191000
6529,3464,5.3275,168700
1149,583,2.8092,137500
5464,2400,4.711,133500
1469,1285,3.9219,159500
3787,1606,5.5676,174200
1631,862,3.6007,261800
1891,1093,4.0167,165500
64,59,2.2375,450000
1390,874,2.5812,200000
788,413,5.9546,396700
2879,2098,3.5125,142400
931,732,1.7679,142800
2343,2007,5.756,302700
5822,3415,1.6854,64700
1499,755,3.875,258300
2086,1073,4.5526,154400
3328,1455,5.0596,363900
1253,1198,3.5179,225000
634,248,3.8571,143800
2842,1443,2.2727,92700
1118,514,2.4196,346200
2793,1825,2.6724,144500
2605,1110,5.5519,329500
2556,1005,1.6991,69100
3821,2179,3.7821,80400
2358,1065,3.1289,320600
1411,609,1.9375,67700
3904,3688,1.8022,78000
1999,1060,3.7031,167100
1860,1848,2.2891,162500
1744,2034,2.2684,193800
2003,1291,4.0625,201100
2403,1385,4.4934,213800
1407,1526,2.29,121800
1865,973,3.6587,321200
2610,1290,4.1298,222800
1846,2576,2.63,156000
1244,696,3.6369,158700
3811,1930,3.5154,311400
3436,2583,3.5039,232400
2694,1152,3.0806,106700
1608,676,4.6125,361700
1222,630,3.7708,215300
2331,1290,2.5111,55400
2622,1997,3.338,222500
1256,880,2.4233,450000
1013,1083,1.8438,162500
3407,1463,3.0369,500001
1811,911,3.375,149700
1751,1939,1.5394,200000
1502,590,2.5952,190300
3819,1738,5.8718,201400
1467,1316,1.448,72800
6,8,1.625,55000
20982,10329,4.3658,130600
5020,2105,3.8158,248700
7268,3232,3.3703,228700
8275,3636,5.1506,302100
581,298,2.4,255000
2837,2031,4.9271,209700
2844,1613,3.3571,193600
1765,451,2.6083,321900
1051,799,2.712,143800
1254,895,2.1516,187500
2261,3545,2.5224,148500
2970,1117,5,275900
796,740,3.6,156400
3049,2167,2.7969,141700
2885,1227,4.9524,226600
1539,556,3.25,500001
2229,1010,4.1719,206100
198,151,4.5625,100000
2512,1275,4.9375,293000
3400,1383,4.9844,249100
1314,649,2.575,73600
4372,1473,5.1194,247800
10105,6274,2.4497,90900
2141,1053,2.8529,85600
3308,3201,1.7694,73900
686,246,1.7083,77300
1759,837,4.6992,251900
3010,1360,4.2006,290700
3363,1603,4.2542,294100
2236,974,3.2016,97000
2155,866,5.6188,404700
32,26,4.1944,270800
2074,1687,2.0885,73700
202,145,0.8252,42500
4814,3013,3.2369,167800
116,193,3.8125,136300
2696,1208,2.275,122400
1776,1807,1.7276,102300
4595,2849,2.478,185600
2010,1501,2.0417,65900
1726,1371,2.0335,43900
1234,777,1,40000
2020,1341,1.7,69000
1601,731,2.5568,258300
