"state","Pollster","Obama","McCain","middate","margin","days"
"AL","SurveyUSA-2",36,61,2008-10-27,-25,8
"AL","Capital Survey-2",34,54,2008-10-15,-20,20
"AL","SurveyUSA-2",35,62,2008-10-08,-27,27
"AL","Capital Survey-2",35,55,2008-10-06,-20,29
"AL","Rasmussen-1",39,60,2008-09-22,-21,43
"AL","SurveyUSA-2",34,64,2008-09-16,-30,49
"AL","ARG-4",36,58,2008-09-14,-22,51
"AL","U. of South Alabama-8",25,52,2008-09-11,-27,54
"AL","Capital Survey-7",35,55,2008-09-06,-20,59
"AL","Capital Survey-7",34,47,2008-08-01,-13,95
"AL","Rasmussen-1",37,55,2008-07-31,-18,96
"AL","Rasmussen-1",36,51,2008-06-26,-15,131
"AL","Capital Survey-2",36,49,2008-06-25,-13,132
"AL","Capital Survey-5",33,57,2008-05-31,-24,157
"AL","Rasmussen-1",32,60,2008-05-27,-28,161
"AL","SurveyUSA-3",34,57,2008-05-17,-23,171
"AL","Capital Survey-9",36,55,2008-04-20,-19,198
"AL","SurveyUSA-3",32,64,2008-04-12,-32,206
"AL","Rasmussen-1",37,55,2008-04-02,-18,216
"AL","U. of South Alabama-4",30,57,2008-03-25,-27,224
"AL","SurveyUSA-3",35,62,2008-03-15,-27,234
"AL","SurveyUSA-3",40,54,2008-02-27,-14,251
"AL","SurveyUSA-2",29,63,2008-01-16,-34,293
"AL","Election 2004-1",37,63,2008-01-01,-26,308
"AK","Research 2000-3",39,58,2008-10-29,-19,6
"AK","Rasmussen-1",41,57,2008-10-28,-16,7
"AK","Ivan Moore Research-3",42,53,2008-10-18,-11,17
"AK","Research 2000-3",38,57,2008-10-15,-19,20
"AK","Rasmussen-1",40,55,2008-10-06,-15,29
"AK","Ivan Moore Research-4",38,55,2008-10-04,-17,31
"AK","Fairleigh Dickinson U.-5",37,55,2008-09-19,-18,46
"AK","Research 2000-3",38,55,2008-09-16,-17,49
"AK","ARG-3",39,55,2008-09-10,-16,55
"AK","Rasmussen-1",33,64,2008-09-09,-31,56
"AK","Ivan Moore Research-4",35,54,2008-08-31,-19,65
"AK","Rasmussen-1",39,44,2008-07-30,-5,97
"AK","Rasmussen-1",40,45,2008-07-17,-5,110
"AK","Research 2000-3",41,51,2008-07-15,-10,112
"AK","Rasmussen-1",41,45,2008-06-16,-4,141
"AK","Rasmussen-1",41,50,2008-05-14,-9,174
"AK","Research 2000-3",42,49,2008-05-13,-7,175
