DOI,author,censored,date,html_views,pdf_views,title
https://doi.org/10.1017/S0305741009991093,Feng Chen,0,March 2010,6,104,Trade Unions and the Quadripartite Interactions in Strike Settlement in China*
https://doi.org/10.1017/S0305741000009711,Yong-Sang Ng,0,March 1963,0,15,The Poetry of Mao Tse-tung
https://doi.org/10.1017/S0305741000052875,Tony Saich,0,December 1994,0,39,Introduction: The Chinese Communist Party and the Anti-Japanese War Base Areas
https://doi.org/10.1017/S0305741000000126,Roxane Witke,0,March 1982,0,18,Feminism and Socialism in China
https://doi.org/10.1017/S0305741000010286,Bernard B. Fall,0,December 1965,1,11,From Colonialism to Communism: A Case History of North Vietnam
https://doi.org/10.1017/S0009443901260100,Elisabeth Croll,0,March 2001,0,1,China Beyond the Headlines
https://doi.org/10.1017/S0305741000020518,Suzanne Pepper,0,December 1977,0,6,An Interview on Changes in Chinese Education After the “Gang of Four”
https://doi.org/10.1017/S0305741000041527,Carver Yu,0,March 1992,0,2,"The Protestant Community on Modern Taiwan – Mission, Seminary and Church"
https://doi.org/10.1017/S0305741000030149,Don Starr,0,June 1985,0,3,The Rise of Modern China
https://doi.org/10.1017/S030574101600014X,Yihan Xiong,0,March 2016,2,44,Citizenship Education and Migrant Youth in China
https://doi.org/10.1017/S0305741014000046,Derek Hird,0,March 2014,3,25,Go Nation: Chinese Masculinities and the Game of Weiqi in China
https://doi.org/10.1017/S0305741000021974,Robert E. Bedeski,0,June 1977,0,50,The Concept of the State: Sun Yat-sen and Mao Tse-tung
https://doi.org/10.1017/S0305741016001272,Sarah Rogers,0,December 2016,5,43,"Dams, Migrants and Authoritarianism in China: The Local State in Yunnan "
https://doi.org/10.1017/S0305741000022141,Daniel Tretiak,0,June 1977,0,2,"The North Korean Communist Leadership, 1945–65"
https://doi.org/10.1017/S030574100003558X,Randle Edwards,0,September 1976,0,3,"China Law Review, Vol I, Nos"
https://doi.org/10.1017/S0305741000025480,Mark Elvin and Piet van Der Loon,0,September 1974,0,5,A Computerized Bibliography of China
https://doi.org/10.1017/S0305741000049626,Victor C. Falkenheim,0,December 1978,0,5,Revolutionary Ideology and Chinese Reality: Dissonance Under Mao
https://doi.org/10.1017/S0305741000046993,Qi Luo,0,September 1997,0,3,China Superpower: Requisites for High Growth
https://doi.org/10.1017/S0305741000014995,David Wilson,1,September 1995,0,163,The Cultural Revolution to Sino-American Rapprochement
https://doi.org/10.1017/S030574100900040X,Evan N. Dawley,0,June 2009,4,71,The Question of Identity in Recent Scholarship on the History of Taiwan*
